"","SalmGeneticRowID","FishTagID","BestEstimate","Fall","Late_fall","Spring","Winter","Prob1","Comments","Run ID"
"1",3096,"2025_ACHN_005","Fall",1,0,0,0,1,NA,NA
"2",3097,"2025_ACHN_006","Fall",1,0,0,0,1,NA,NA
"3",3098,"2025_ACHN_007","Fall",1,0,0,0,1,NA,NA
"4",3100,"2025Ad_plus-F_001","Fall",1,0,0,0,1,NA,NA
"5",3102,"2025Ad_plus-F_003","Fall",1,0,0,0,1,NA,NA
"6",3104,"2025Ad_plus-F_005","Fall",1,0,0,0,1,NA,NA
"7",3105,"2025Ad_plus-F_006","Fall",1,0,0,0,1,NA,NA
"8",3107,"2025Ad_plus-F_008","Fall",1,0,0,0,1,NA,NA
"9",3108,"2025Ad_plus-F_009","Fall",1,0,0,0,1,NA,NA
"10",3109,"2025Ad_plus-F_010","Fall",1,0,0,0,1,NA,NA
"11",3110,"2025Ad_plus-F_011","Fall",1,0,0,0,1,NA,NA
"12",3111,"2025Ad_plus-F_012","Fall",1,0,0,0,1,NA,NA
"13",3112,"2025Ad_plus-F_013","Fall",1,0,0,0,1,NA,NA
"14",3114,"2025Ad_plus-F_015","Fall",1,0,0,0,1,NA,NA
"15",3115,"2025Ad_plus-F_016","Fall",1,0,0,0,1,NA,NA
"16",3116,"2025Ad_plus-F_017","Fall",1,0,0,0,1,NA,NA
"17",3117,"2025Ad_plus-F_018","Fall",1,0,0,0,1,NA,NA
"18",3118,"2025Ad_plus-F_019","Fall",1,0,0,0,1,NA,NA
"19",3119,"2025Ad_plus-F_020","Fall",1,0,0,0,1,NA,NA
"20",3120,"2025Ad_plus-F_021","Fall",1,0,0,0,1,NA,NA
"21",3121,"2025Ad_plus-F_022","Fall",1,0,0,0,1,NA,NA
"22",3122,"2025Ad_plus-F_023","Fall",1,0,0,0,1,NA,NA
"23",3123,"2025Ad_plus-F_024","Fall",1,0,0,0,1,NA,NA
"24",3124,"2025Ad_plus-F_025","Fall",1,0,0,0,1,NA,NA
"25",3125,"2025Ad_plus-F_026","Fall",1,0,0,0,1,NA,NA
"26",3126,"2025Ad_plus-F_027","Fall",1,0,0,0,1,NA,NA
"27",3128,"2025Ad_plus-F_029","Fall",1,0,0,0,1,NA,NA
"28",3129,"2025Ad_plus-F_030","Fall",1,0,0,0,1,NA,NA
"29",3130,"2025Ad_plus-F_031","Fall",1,0,0,0,1,NA,NA
"30",3132,"2025Ad_plus-F_033","Fall",1,0,0,0,1,NA,NA
"31",3133,"2025Ad_plus-F_034","Fall",1,0,0,0,1,NA,NA
"32",3135,"2025Ad_plus-F_036","Fall",1,0,0,0,1,NA,NA
"33",3136,"2025Ad_plus-F_037","Fall",1,0,0,0,1,NA,NA
"34",3137,"2025Ad_plus-F_038","Fall",1,0,0,0,1,NA,NA
"35",3138,"2025Ad_plus-F_039","Fall",1,0,0,0,1,NA,NA
"36",3139,"2025Ad_plus-F_040","Fall",1,0,0,0,1,NA,NA
"37",3140,"2025Ad_plus-F_041","Fall",1,0,0,0,1,NA,NA
"38",3141,"2025Ad_plus-F_042","Fall",1,0,0,0,1,NA,NA
"39",3142,"2025Ad_plus-F_043","Fall",1,0,0,0,1,NA,NA
"40",3143,"2025Ad_plus-F_044","Fall",1,0,0,0,1,NA,NA
"41",3144,"2025Ad_plus-F_045","Fall",1,0,0,0,1,NA,NA
"42",3145,"2025Ad_plus-F_046","Fall",1,0,0,0,1,NA,NA
"43",3146,"2025Ad_plus-F_047","Fall",1,0,0,0,1,NA,NA
"44",3147,"2025Ad_plus-F_048","Fall",1,0,0,0,1,NA,NA
"45",3149,"2025Ad_plus-F_050","Fall",1,0,0,0,1,NA,NA
"46",3150,"2025Ad_plus-F_051","Fall",1,0,0,0,1,NA,NA
"47",3151,"2025Ad_plus-F_052","Fall",1,0,0,0,1,NA,NA
"48",3152,"2025Ad_plus-F_053","Fall",1,0,0,0,1,NA,NA
"49",3153,"2025Ad_plus-F_054","Fall",1,0,0,0,1,NA,NA
"50",3154,"2025Ad_plus-F_055","Fall",1,0,0,0,1,NA,NA
"51",3155,"2025Ad_plus-F_056","Fall",1,0,0,0,1,NA,NA
"52",3157,"2025Ad_plus-F_058","Fall",1,0,0,0,1,NA,NA
"53",3158,"2025Ad_plus-F_059","Fall",1,0,0,0,1,NA,NA
"54",3159,"2025Ad_plus-F_060","Fall",1,0,0,0,1,NA,NA
"55",3160,"2025Ad_plus-F_061","Fall",1,0,0,0,1,NA,NA
"56",3161,"2025Ad_plus-F_062","Fall",1,0,0,0,1,NA,NA
